2025-06-13 16:42:59 | INFO |MainProcess | MainThread |  __main__ : main:43 | ----------------------------------------quit Qt application----------------------------------------
2025-06-13 16:45:38 | INFO |MainProcess | MainThread |  __main__ : main:91 | ----------------------------------------gui_start----------------------------------------
2025-06-13 16:45:38 | INFO |MainProcess | MainThread |  __main__ : main:94 | loading config start
2025-06-13 16:45:38 | INFO |MainProcess | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
2025-06-13 16:45:38 | INFO |MainProcess | MainThread |  __main__ : main:96 | loading config finish
2025-06-13 16:45:38 | INFO |MainProcess | MainThread |  __main__ : main:59 | start Qt
2025-06-13 16:45:38 | ERROR |MainProcess | MainThread |  __main__ : main:67 | gui程序实例化失败，原因:arguments did not match any overloaded call:
  setGeometry(self, a0: QRect): argument 1 has unexpected type 'list'
  setGeometry(self, ax: int, ay: int, aw: int, ah: int): argument 1 has unexpected type 'list' |  异常堆栈跟踪：None
2025-06-13 16:47:20 | INFO |MainProcess | MainThread |  __main__ : main:91 | ----------------------------------------gui_start----------------------------------------
2025-06-13 16:47:20 | INFO |MainProcess | MainThread |  __main__ : main:94 | loading config start
2025-06-13 16:47:20 | INFO |MainProcess | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
2025-06-13 16:47:20 | INFO |MainProcess | MainThread |  __main__ : main:96 | loading config finish
2025-06-13 16:47:20 | INFO |MainProcess | MainThread |  __main__ : main:59 | start Qt
2025-06-13 16:47:20 | INFO |MainProcess | MainThread |  __main__ : main:70 | Appliacation start
2025-06-13 16:47:25 | INFO |MainProcess | MainThread |  __main__ : main:43 | ----------------------------------------quit Qt application----------------------------------------
2025-06-13 16:48:45 | INFO |MainProcess | MainThread |  __main__ : main:91 | ----------------------------------------gui_start----------------------------------------
2025-06-13 16:48:45 | INFO |MainProcess | MainThread |  __main__ : main:94 | loading config start
2025-06-13 16:48:45 | INFO |MainProcess | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
2025-06-13 16:48:45 | INFO |MainProcess | MainThread |  __main__ : main:96 | loading config finish
2025-06-13 16:48:45 | INFO |MainProcess | MainThread |  __main__ : main:59 | start Qt
2025-06-13 16:48:45 | INFO |MainProcess | MainThread |  __main__ : main:70 | Appliacation start
2025-06-13 16:48:51 | INFO |MainProcess | MainThread |  __main__ : main:43 | ----------------------------------------quit Qt application----------------------------------------
2025-06-13 17:10:38 | INFO |MainProcess | MainThread |  __main__ : main:91 | ----------------------------------------gui_start----------------------------------------
2025-06-13 17:10:38 | INFO |MainProcess | MainThread |  __main__ : main:94 | loading config start
2025-06-13 17:10:38 | INFO |MainProcess | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
2025-06-13 17:10:38 | INFO |MainProcess | MainThread |  __main__ : main:96 | loading config finish
2025-06-13 17:10:38 | INFO |MainProcess | MainThread |  __main__ : main:59 | start Qt
2025-06-13 17:10:38 | INFO |MainProcess | MainThread |  __main__ : main:70 | Appliacation start
